country,year,isocode,prosperity_score,index,%_change_from_07
Chad,2007,TCD,34.067547692192925,200,0.0
Chad,2008,TCD,36.354613622029625,201,6.713327153749944
Chad,2009,TCD,35.8691283331977,202,5.288260420980153
Chad,2010,TCD,36.87599203321669,203,8.243752577668987
Chad,2011,TCD,39.50836986965604,204,15.970689251313392
Chad,2012,TCD,39.94830407036675,205,17.26204783305107
Chad,2013,TCD,38.93718677096896,206,14.294069895415399
Chad,2014,TCD,39.80755297342936,207,16.84889482829385
Togo,2007,TGO,40.59894328647189,1072,0.0
Togo,2008,TGO,40.42844454447428,1073,-0.4199585708291686
Togo,2009,TGO,41.00830099317763,1074,1.008296456923147
Togo,2010,TGO,42.251966900295685,1075,4.0715927066372695
Togo,2011,TGO,44.80755148993598,1076,10.366299865904274
Togo,2012,TGO,45.09957059224447,1077,11.085577459530194
Togo,2013,TGO,45.689324696858726,1078,12.53821158464244
Togo,2014,TGO,47.28680080837674,1079,16.47298422206306
Zimbabwe,2007,ZWE,43.2351508670383,1184,0.0
Zimbabwe,2008,ZWE,41.9211474524604,1185,-3.0392016408566978
Zimbabwe,2009,ZWE,43.70265112982856,1186,1.081296707459101
Zimbabwe,2010,ZWE,46.44938850402832,1187,7.434315765139372
Zimbabwe,2011,ZWE,48.6956655714247,1188,12.629803747370282
Zimbabwe,2012,ZWE,48.96670765346951,1189,13.256705878181286
Zimbabwe,2013,ZWE,50.172019958496094,1190,16.04451228305147
Zimbabwe,2014,ZWE,49.56722640991211,1191,14.64566542706636
Ivory Coast,2007,CIV,44.145295249091255,520,0.0
Ivory Coast,2008,CIV,44.28861490885416,521,0.3246544370226006
Ivory Coast,2009,CIV,44.963654200236,522,1.8537852029919115
Ivory Coast,2010,CIV,44.62754525078668,523,1.0924153955122857
Ivory Coast,2011,CIV,43.96750852796767,524,-0.40273084622137256
Ivory Coast,2012,CIV,46.12831730312772,525,4.4920348654306235
Ivory Coast,2013,CIV,48.57547611660428,526,10.035454157720737
Ivory Coast,2014,CIV,49.12003877427843,527,11.269023113600262
Georgia,2007,GEO,51.98064168294271,376,0.0
Georgia,2008,GEO,53.20865885416666,377,2.362450965331035
Georgia,2009,GEO,53.95058568318685,378,3.789764682513667
Georgia,2010,GEO,55.44961717393663,379,6.673591126775669
Georgia,2011,GEO,56.33345964219835,380,8.373921172050483
Georgia,2012,GEO,56.92342673407661,381,9.508895794866373
Georgia,2013,GEO,57.88071738349067,382,11.350524944527667
Georgia,2014,GEO,57.58079952663846,383,10.7735450398132
